antiguedad_anios,salario_k,horas_extra_mes,satisfaccion,se_fue
7,57,6,0.65,0
9,53,4,0.87,0
6,70,16,0.88,0
0,29,29,0.9,0
8,51,32,0.46,1
0,66,21,1.0,0
4,30,36,0.63,0
12,30,13,0.66,0
6,60,12,0.21,1
8,59,34,0.09,1
14,52,1,0.52,0
3,65,30,0.17,1
12,34,16,0.76,0
11,49,37,0.14,1
5,67,20,0.32,0
3,77,7,0.23,0
4,75,30,0.69,1
6,89,36,0.62,1
9,89,13,0.47,0
6,73,17,0.28,0
2,89,6,0.3,1
14,31,10,0.79,0
5,36,39,0.6,1
13,30,5,0.3,0
2,65,21,0.35,1
4,36,1,0.19,0
11,46,16,0.29,1
4,45,32,0.29,1
13,37,2,0.52,0
6,67,35,0.8,0
6,76,37,0.95,1
0,84,16,0.77,0
6,41,36,0.45,1
4,64,35,0.14,1
8,67,34,0.8,1
14,89,25,0.03,1
0,34,22,0.02,1
12,74,26,0.35,1
5,74,8,0.64,0
8,49,17,0.63,0
7,72,1,0.59,0
7,21,30,0.24,1
12,43,34,0.73,0
14,82,9,0.2,0
14,78,3,0.53,0
8,70,25,0.85,0
10,71,20,0.32,1
14,33,0,0.4,0
13,49,34,0.42,1
14,32,14,0.87,0
0,72,13,0.14,1
0,48,6,0.11,1
8,59,15,0.33,0
1,41,36,0.64,1
12,38,9,0.93,0
11,52,34,0.32,1
1,77,35,0.48,1
1,72,20,0.45,0
1,23,24,0.5,1
5,46,21,0.22,1
12,54,11,0.14,0
4,39,39,0.34,1
10,86,1,0.15,0
8,28,0,0.37,0
9,84,18,0.46,1
0,57,17,0.3,0
10,38,1,0.02,1
6,39,35,0.16,1
2,43,34,0.4,1
8,29,35,0.17,1
9,32,37,0.36,1
1,38,10,0.13,0
7,89,39,0.6,1
5,33,28,0.63,1
11,31,21,0.99,0
7,68,25,0.41,1
0,20,22,0.71,0
4,52,23,0.02,1
8,45,30,0.77,0
6,35,17,0.27,0
4,81,35,0.86,1
6,87,9,0.05,1
4,48,3,0.04,1
1,78,28,0.49,0
10,37,38,0.07,1
8,57,21,0.91,0
7,36,26,0.76,0
1,74,0,0.06,1
10,25,28,0.58,1
8,78,26,0.91,0
12,38,21,0.96,0
1,35,7,0.97,0
4,69,34,0.56,1
8,75,15,0.09,1
1,45,15,0.4,0
12,61,6,0.01,1
3,61,13,0.43,1
4,25,32,0.83,0
5,24,1,0.82,0
1,25,10,0.01,1
2,26,37,0.64,1
4,72,11,0.08,0
3,34,4,0.86,0
6,41,6,0.98,0
9,89,38,0.15,1
9,80,19,0.85,0
13,42,23,0.75,0
2,68,8,0.1,1
9,64,1,0.64,0
0,84,25,0.15,1
0,63,37,0.25,1
12,58,18,0.93,0
5,81,26,0.89,0
6,86,23,0.87,0
13,31,1,0.81,0
8,21,38,0.47,1
10,32,24,0.84,0
12,68,27,0.44,1
9,58,22,0.72,0
11,45,22,0.95,0
1,83,12,0.41,0
12,53,33,0.67,0
6,66,28,0.82,0
4,58,3,0.33,0
2,77,18,0.79,0
2,65,11,0.78,0
2,39,18,0.77,0
0,30,38,0.34,1
4,66,19,0.35,1
5,54,10,0.74,0
14,40,16,0.74,0
9,69,12,0.25,1
11,32,23,0.58,1
8,31,5,0.32,0
12,37,10,0.59,0
13,24,6,0.68,0
13,83,13,0.58,0
12,77,4,0.23,0
10,56,30,0.22,1
7,42,34,0.33,1
2,86,12,0.28,1
1,36,24,0.42,1
14,78,0,0.62,0
7,39,38,0.86,1
12,28,3,0.58,0
13,85,15,0.07,1
1,39,20,0.86,0
13,64,36,0.35,1
4,61,18,0.95,0
10,85,18,0.62,1
6,49,10,0.05,1
9,75,9,0.08,1
7,30,3,0.63,0
12,80,30,0.19,1
14,50,0,0.84,0
10,26,21,0.57,0
6,21,9,0.24,0
9,27,38,0.54,1
2,50,39,0.39,1
6,83,18,0.32,0
11,54,1,0.93,0
5,70,5,0.21,0
14,50,27,0.33,1
7,74,3,0.18,0
13,29,21,0.97,0
13,57,4,0.45,0
3,51,11,0.48,0
9,39,25,0.69,0
14,57,17,0.96,0
12,51,28,0.5,1
7,84,1,0.65,0
7,87,35,0.99,1
11,64,10,0.74,0
8,79,26,0.97,0
8,73,27,0.17,1
10,44,21,0.47,1
14,60,39,0.02,1
10,55,33,0.8,1
7,31,27,0.51,1
3,63,11,0.01,1
4,63,20,0.95,0
13,56,27,0.45,1
12,26,10,0.64,0
3,46,2,0.98,0
5,43,21,0.56,1
9,59,17,0.89,0
9,67,1,0.93,0
5,60,31,0.42,1
10,72,29,0.55,0
4,49,1,0.32,0
13,24,35,0.16,1
14,27,31,0.78,1
4,59,27,0.9,0
10,66,29,0.84,0
8,53,11,0.96,0
4,79,37,0.63,0
9,35,24,0.66,0
10,32,36,0.8,0
7,35,36,0.53,1
11,64,2,0.02,0
14,74,6,0.92,0
5,47,20,0.61,0
5,64,4,0.53,0
13,54,7,0.64,0
11,86,16,0.09,0
14,64,33,0.31,1
11,86,10,0.17,1
3,35,38,0.46,1
8,69,4,0.74,0
10,43,13,0.04,1
5,39,11,0.64,0
3,58,13,0.09,1
10,78,14,0.95,0
3,72,29,0.31,1
14,72,19,0.57,0
11,39,13,0.17,1
12,51,1,0.25,0
14,50,1,0.51,0
13,76,39,0.68,1
7,37,5,0.05,1
5,29,30,0.65,0
4,42,22,0.04,1
10,72,6,0.95,0
4,45,13,0.41,0
10,79,34,0.12,1
6,52,17,0.39,0
3,44,25,0.96,0
9,22,35,0.58,1
2,70,34,0.64,1
13,44,2,0.36,0
4,76,24,0.06,1
11,74,8,0.23,0
8,87,22,0.27,1
13,41,29,0.08,1
11,69,3,0.59,0
11,78,29,0.41,1
8,43,15,0.44,0
6,42,26,0.48,1
1,71,38,0.17,1
14,70,26,0.82,0
8,39,25,0.82,0
9,78,6,0.29,0
13,86,1,0.38,0
6,74,38,0.43,1
0,87,5,0.69,0
10,87,28,0.89,0
2,86,19,0.46,1
11,69,1,0.52,0
10,32,37,0.62,1
8,81,39,0.33,1
6,68,8,0.15,0
7,33,17,0.92,0
2,85,32,0.76,0
13,89,23,0.32,1
4,70,21,0.96,0
7,81,13,0.97,0
1,86,18,0.88,0
8,29,4,0.85,0
13,61,28,0.68,0
14,54,7,0.42,0
8,31,9,0.42,0
14,65,22,0.98,0
0,82,28,0.49,0
9,68,27,0.5,1
11,80,6,0.28,1
6,24,30,0.11,1
7,37,5,0.91,0
2,59,17,0.5,1
7,47,1,0.68,0
1,49,30,0.01,1
12,46,28,0.64,1
4,23,15,0.72,0
4,66,35,0.13,1
0,49,6,0.46,0
0,75,0,0.47,0
12,75,17,0.17,1
5,83,7,0.68,0
3,78,33,0.7,1
14,48,11,0.79,0
2,89,10,0.22,1
1,40,0,0.92,0
7,41,1,0.63,0
0,81,2,0.88,0
9,22,27,0.12,1
2,80,22,0.18,1
0,67,39,0.57,1
13,43,33,0.03,1
1,62,38,0.77,1
7,76,20,0.21,1
14,30,36,0.85,1
14,24,15,0.34,0
9,65,0,0.8,0
12,23,15,0.22,0
13,58,4,0.7,0
10,76,33,0.05,1
3,51,28,0.33,1
4,53,26,0.4,1
12,41,38,0.86,0
14,33,28,0.62,0
2,63,12,0.04,1
13,46,1,0.52,0
9,43,9,0.44,0
4,87,24,0.12,1
12,27,18,0.28,1
0,73,5,0.36,0
2,77,36,0.36,1
10,51,23,0.2,0
1,24,35,0.69,1
11,81,28,0.06,1
9,83,19,0.13,1
8,62,37,0.92,1
7,38,12,0.31,0
5,43,28,0.69,1
8,72,22,0.83,0
14,56,5,0.71,0
10,64,19,0.26,1
11,84,5,0.63,0
12,24,29,0.57,0
11,37,37,0.94,0
9,47,16,0.03,1
12,84,31,0.42,1
12,63,26,0.94,0
5,75,27,0.46,1
14,78,2,0.99,0
2,73,27,0.71,1
14,33,3,0.31,0
0,44,22,0.99,0
5,83,26,0.56,1
10,56,10,0.01,1
3,45,3,0.91,0
3,21,33,0.37,1
12,73,10,0.69,0
13,31,35,0.59,1
4,27,36,0.72,0
4,23,25,0.78,0
12,47,29,1.0,0
10,61,27,0.72,1
3,79,30,0.99,0
2,40,37,0.03,1
2,56,5,0.8,0
1,42,9,0.94,0
6,73,25,0.38,1
13,71,31,0.49,1
5,21,21,0.04,1
3,28,1,0.23,0
1,28,3,0.25,0
11,20,27,0.79,0
14,28,28,0.79,1
2,65,13,0.07,1
4,71,36,0.92,1
4,82,20,0.98,0
1,80,8,0.94,0
3,70,35,0.63,1
3,65,20,0.89,0
6,49,5,0.57,0
1,38,37,0.77,0
12,60,32,0.1,1
8,49,6,0.99,0
10,76,25,0.26,1
11,35,25,0.85,0
0,38,15,0.11,1
10,75,37,0.71,0
2,46,32,0.03,1
5,53,16,0.47,0
14,71,14,0.07,1
11,88,39,0.44,1
14,88,27,0.2,1
6,48,36,0.13,1
9,69,14,0.37,0
0,47,21,0.81,0
5,73,35,0.62,0
6,86,4,0.82,0
13,28,4,0.7,0
1,71,5,0.13,0
3,55,34,0.96,0
2,36,33,0.65,1
6,54,16,0.8,0
2,59,14,0.58,1
8,47,2,0.16,1
4,32,3,0.83,0
7,89,0,0.36,0
4,45,31,0.71,0
13,33,30,0.43,1
8,41,1,0.41,0
5,83,28,0.51,1
14,25,4,0.02,1
5,41,7,0.81,0
8,31,22,0.2,1
11,67,17,0.7,0
12,64,22,0.83,0
12,67,3,0.7,0
14,65,29,0.71,0
2,29,27,0.96,0
7,63,28,0.83,1
11,74,25,0.36,1
1,31,14,0.48,0
10,41,19,0.0,1
0,70,5,0.05,0
11,51,35,0.54,1
12,31,30,0.73,0
11,45,12,0.62,0
